"Nombre ","Direccion","CP","Localidad","Provincia","Apellidos persona contacto","Nombre persona contacto","Telefono","Movil","Fax","email","web","sector","productos","formato y envase","Stand"
"C.R.D.O. CAMPIÑAS DE JAÉN","Corredera de San Fernando, 32 (Casa de la Tercia)",23400,"Úbeda","Jaén","Momblan Hidalgo","Esteban","953 755 889",,"953 758 387","direccion@campinasdejaen.es","www.campinasdejaen.es",1,,,"2157-2160"
"C.R.D.O. MONTORO-ADAMUZ","Alto Guadalquivir, 6",14430,"Adamuz","Córdoba","Terán","Antonio","957 166 496",,957166496,"info@montoro-adamuz.com","www.montoro-adamuz.com",1,,,2029
"C.R.D.O. SIERRA CAZORLA","A- 319 Km. 10,5",23470,"Cazorla","Jaén","Tiscar","Emilio","953 722 121","657 557 184","953 722 113","denominacion@desierracazorla.es","www.desierracazorla.es",1,"Aceite de Oliva Virgen Extra Sierra Cazorla Certificado.",,"2157-2160"
"C.R.D.O. SIERRA CAZORLA","A- 319 Km. 10,5",23470,"Cazorla","Jaén","Tiscar","Emilio","953 722 121","657 557 184","953 722 113","denominacion@desierracazorla.es","www.desierracazorla.es",9,"Aceite de Oliva Virgen Extra Sierra Cazorla Certificado.",,"2157-2160"
"C.R.D.O. SIERRA DE SEGURA","P.I. Llanos de Armijo, s/n",23360,"Puerta De Segura(La)","Jaén","Moreno Ballesteros","Francisco","953 486 063","639 832 253","953 486 473","gerencia@dosierradesegura.com","www.dosierradesegura.com",1,"Aceite de Oliva Virgen Extra D.O. Sierra de Segura.",,"2157-2160"
"C.R.D.O. SIERRA MÁGINA","Ctra. Mancha Real - Jodar, s/n Pol. Ind. Los Llanos",23537,"Bedmar y Garciez","Jaén","Sutil García","Manuel J.","953 772 090",,"953 772 272","denominacion@sierramagina.org","www.sierramagina.org",1,"Aceite de Oliva Virgen Extra con D.O. Sierra Mágina.","Latas desde 500 ml. hasta 5 litros, envases de cristal desde 125 ml. hasta 1 litro, y PET.","2157-2160"
"C.R.D.O.P. SIERRA DE CÁDIZ","Polígono Industrial, s/n",11690,"Olvera","Cádiz",,"Dolores Ortega Albarrán / Francisca Troya Cantalejo","956 130 034","618 971 481","956 120 511","aceitecadiz@interbook.net","www.dosierradecadiz.com",1,"Aceite de Oliva Virgen Extra con Denominación de Origen. Olivar Sierra de Cádiz.",,2039
"C.R.DD.OO. MÁLAGA, SIERRAS DE MÁLAGA Y PASAS DE MÁLAGA","Pl. de los Viñeros, 1",29008,"Málaga","Málaga","Xanthopoulou","Georgia","952 227 990",,"952 227 990","promycom@vinomalaga.com","www.museovinomalaga.com",16,"Vinos con D.O. Málaga, Vinos con D.O. Sierras de Málaga","Botellas de vidrio de 50 cl. y 75 cl.","2060-2061;2064"
"CAMPO RICO","P.E. Cuarto de la Huerta, s/n",41220,"Burguillos","Sevilla","Acuña","Juan Carlos","955 738 980","605 963 861","955 738 980","juancarloscamporico@yahoo.es","www.camporico.com",6,"Semiconservas vegetales; Precocinados","Pimientos asados tradicionales, 350 grs. 500 grs., 2,5 Kg.; Pisto tradicional (Ratatouille), 380 grs. 2,5 Kg., Alcachofas con aceite de oliva 300 grs., 1,8 Kg.; Zanahorias estilo andaluz, 350 grs., 1 Kg.",2140
"CAMPO RICO","P.E. Cuarto de la Huerta, s/n",41220,"Burguillos","Sevilla","Acuña","Juan Carlos","955 738 980","605 963 861","955 738 980","juancarloscamporico@yahoo.es","www.camporico.com",7,"Semiconservas vegetales; Precocinados","Pimientos asados tradicionales, 350 grs. 500 grs., 2,5 Kg.; Pisto tradicional (Ratatouille), 380 grs. 2,5 Kg., Alcachofas con aceite de oliva 300 grs., 1,8 Kg.; Zanahorias estilo andaluz, 350 grs., 1 Kg.",2140
"CAMPO RICO","P.E. Cuarto de la Huerta, s/n",41220,"Burguillos","Sevilla","Acuña","Juan Carlos","955 738 980","605 963 861","955 738 980","juancarloscamporico@yahoo.es","www.camporico.com",10,"Semiconservas vegetales; Precocinados","Pimientos asados tradicionales, 350 grs. 500 grs., 2,5 Kg.; Pisto tradicional (Ratatouille), 380 grs. 2,5 Kg., Alcachofas con aceite de oliva 300 grs., 1,8 Kg.; Zanahorias estilo andaluz, 350 grs., 1 Kg.",2140
"CASTILLO DE CANENA","Remedios, 4",23420,"Canena","Jaén","Alameda Olivares","Isabel","953 770 101","628 069 612","953 770 898","info@castillodecanena.com","www.castillodecanena.com",1,"Aceite de Oliva Virgen Extra Castillo de Canena Reserva Familiar. Variedades: Picual y Arbequina. Aceite de Oliva Virgen Extra Primer Día de Cosecha. Variedades: picual y arbequina.Aceites del Siglo XXI. Primero. Royal Temprano. Variedad: Royal.","Reserva Familiar: 500 ml. y 250 ml., Primer Día de Cosecha: 500 ml., Royal Temprano: 500 ml.",2139
"CATUNAMBÚ","Fósforo, 1",41007,"Sevilla","Sevilla","Gordillo Scholl","Alejandro","954 367 410","687 501 619","954 361 262","hogar@catunambu.es","www.catunambu.es",10,"Café tostado y otros productos relacionados.","Envases de 250 gr. para Gran Consumo en todas sus variedades (Natural, Mezcla y Descafeinado) y formato de 1 kg. para hostelería en todas sus variedades.","2084-2085"
"CONSEJERÍA DE AGRICULTURA Y PESCA - JUNTA DE ANDALUCÍA","Tabladilla, s/n",41071,"Sevilla","Sevilla",,,"955 032 000",,,"svca.cap@juntadeandalucia.es","www.juntadeandalucia.es/agriculturaypesca",9,,,
"CONSERVAS VEGETALES ALSUR","Ctra. Córdoba-Málaga Km. 520,8",29200,"Antequera","Málaga","Pareja Cruz","Francisco","952 840 762",,"952 840 624","alsur@alsurvegetales.com","www.alsurvegetales.com",6,"Conservas Vegetales: Habas fritas, Ensalada de pimiento, Judías verdes, Alcachofas, Espárrago triguero, Pimiento de piquillo, Espinaca, etc,…","Lata y cristal desde 80 gr. a 3 Kg., según producto.",2083
"CONSORCIO DE JABUGO","Isaac Newton, 3 3ª Planta Mod. A. Edif. Bluenet. Isla de la Cartuja.",41092,"Sevilla","Sevilla","Revilla Torres","José Antonio","955 024 694",,"955 024 695","iberico@consorciodejabugo.com","www.consorciodejabugo.com",13,"Productos derivados del cerdo ibérico: jamones y paletas, embutidos y carnes. Quesos de leche de oveja: cruda y pasteurizada.","Ibérico: Piezas o deshuesados y loncheados. Quesos: Piezas, cuñas y en Aceite de Oliva Virgen.",2057
"CONSORCIO DE JABUGO","Isaac Newton, 3 3ª Planta Mod. A. Edif. Bluenet. Isla de la Cartuja.",41092,"Sevilla","Sevilla","Revilla Torres","José Antonio","955 024 694",,"955 024 695","iberico@consorciodejabugo.com","www.consorciodejabugo.com",15,"Productos derivados del cerdo ibérico: jamones y paletas, embutidos y carnes. Quesos de leche de oveja: cruda y pasteurizada.","Ibérico: Piezas o deshuesados y loncheados. Quesos: Piezas, cuñas y en Aceite de Oliva Virgen.",2057
"CORSEVILLA","Ctra. de Guadalcanal, s/n, Km. 1",41370,"Cazalla de la Sierra","Sevilla","Olmo Gil","Héctor","954 884 286 / 954 889 400","660 489 463","954 889 805 / 954 883 406","queseria@corsevilla.es","www.corsevilla.es",15,"Quesos puros de cabra y productos del cerdo ibérico: jamones, paletas, lomo, lomito, salchichón, chorizo, morcón","Quesos: 0,8 kg., 1 kg. y 3 kg. para las piezas enteras. 0,5 kg. para las mitades, 0,7 kg. para las de Calidad Certificada. Todos envasados al vacío. Ibéricos: Al vacío - lomo, lomito, salchichón, chorizo, morcón. Piezas enteras de 1,5 kg. y mitades para el lomo; Piezas enteras de 1 kg. para el salchichón y chorizo, Piezas enteras de 0,4 kg. para el lomito, Piezas enteras de 1 kg. y mitades para el morcón.",2052
"CORSEVILLA","Ctra. de Guadalcanal, s/n, Km. 1",41370,"Cazalla de la Sierra","Sevilla","Olmo Gil","Héctor","954 884 286 / 954 889 400","660 489 463","954 889 805 / 954 883 406","queseria@corsevilla.es","www.corsevilla.es",13,"Quesos puros de cabra y productos del cerdo ibérico: jamones, paletas, lomo, lomito, salchichón, chorizo, morcón","Quesos: 0,8 kg., 1 kg. y 3 kg. para las piezas enteras. 0,5 kg. para las mitades, 0,7 kg. para las de Calidad Certificada. Todos envasados al vacío. Ibéricos: Al vacío - lomo, lomito, salchichón, chorizo, morcón. Piezas enteras de 1,5 kg. y mitades para el lomo; Piezas enteras de 1 kg. para el salchichón y chorizo, Piezas enteras de 0,4 kg. para el lomito, Piezas enteras de 1 kg. y mitades para el morcón.",2052
"COVAP","Mayor, 56",14400,"Pozoblanco","Córdoba","Salamanques","Arancha","957 473 035",,"957 479 924","comunicaciones@covap.es","www.covap.es",4,"Jamones ibéricos, embutidos, quesos, platos preparados","Jamones ibéricos de peso variable, Embutidos de 300/600/1200 gr., Quesos de 250/400/1000/3000 gr., Platos preparados: 300 gr.","2143-2144"
"COVAP","Mayor, 56",14400,"Pozoblanco","Córdoba","Salamanques","Arancha","957 473 035",,"957 479 924","comunicaciones@covap.es","www.covap.es",13,"Jamones ibéricos, embutidos, quesos, platos preparados","Jamones ibéricos de peso variable, Embutidos de 300/600/1200 gr., Quesos de 250/400/1000/3000 gr., Platos preparados: 300 gr.","2143-2144"
"COVAP","Mayor, 56",14400,"Pozoblanco","Córdoba","Salamanques","Arancha","957 473 035",,"957 479 924","comunicaciones@covap.es","www.covap.es",15,"Jamones ibéricos, embutidos, quesos, platos preparados","Jamones ibéricos de peso variable, Embutidos de 300/600/1200 gr., Quesos de 250/400/1000/3000 gr., Platos preparados: 300 gr.","2143-2144"
"CUYAR JABUGO","Marqués de Aracena,78",21360,"El Repilado - Jabugo","Huelva","Carrasco Granados","Manuel","959 122 612",,959122614,"cuyar@embutidosjabugo.com","www.embutidosjabugo.com",13,"Jamón ibérico, Embutidos ibéricos",,2090
"C.R.D.D.E.E. CABALLA Y MELVA DE ANDALUCÍA","Glorieta del Agua, 4 Edificio Aljamar Center 2ª Planta, Oficina 9",41940,"Tomares","Sevilla","Becerra Tey","Manuel","954 151 823","660 994 459","954 157 592","consejoregulador@caballaymelva.com","www.caballaymelvadeandalucia.org",6,"Conservas de pescado",,"2169-2176;2225-2232"
"C.R.D.O. ESTEPA","Pol.Ind. Sierra Sur Avda. del Mantecado, s/n (Apdo. Correos 181)",41560,"Estepa","Sevilla","Caballero Páez","Moisés","955 912 630",,"955 912 630","secretaria@doestepa.es","www.doestepa.es",1,"Aceite de Oliva Virgen Extra. Marcas Amparadas Oleoestepa y Puricon","5 l. lata y Pet.; 2,5 l. lata; 3 l. Pet; 1 l. lata y Pet; 500 ml. lata; 750 ml. cristal; 50 ml. cristal; 250 ml. Cristal","2169-2176;2225-2232"
"C.R.D.O.P. JAMÓN DE HUELVA","Plaza Doña Elvira, s/n",21200,"Aracena","Huelva","Pavón Domínguez","José Antonio","959 127 900",,"959 126 869","info@jamondehuelva.es","www.jamondehuelva.es",13,"Jamón y paleta con D.O.P. Jamón de Huelva","Un jamón de Huelva estará identificado con el precinto y vitola de la Denominación de Origen Protegida: SUMMUM, EXCELLENS, GRAN SELECCIÓN, SELECCIÓN.","2169-2176;2225-2232"
"C.R.D.O.P. PRIEGO DE CÓRDOBA","Avda. Niceto Alcalá Zamora, s/n. Parque Urbano Multiusos Niceto Alcalá Zamora. Pabellón de las Artes (Recinto Ferial) Apartado de correos 118",14800,"Priego de Córdoba","Córdoba","García González","Francisca","957 547 034",,"957 547 189","do@priegodecordoba.org","www.priegodecordoba.org",1,"Aceite de Oliva Virgen Extra amparados por la D.O.P. Priego de Córdoba.","Vidrio y lata.","2169-2176;2225-2232"
"C.R.D.D.O.O. CONDADO DE HUELVA Y VINAGRE DEL CONDADO DE HUELVA","Plaza Ildefonso Pinto, s/n",21710,"Bollullos del Condado","Huelva","de la Cruz Infante Escudero","Manuel","959 410 322",,"959 413 859","cr@condadodehuelva.es","www.condadodehuelva.es",16,,,"2169-2176;2225-2232"
"C.R.D.O. LOS PEDROCHES","Real, 6",14440,"Villanueva de Córdoba","Córdoba","Ortiz Pérez","Juan Luís","957 121 084",,"957 121 084","informacion@jamondolospedroches.es","www.jamondolospedroches.es",9,"Certificación de jamones y paletas ibéricos de Los Pedroches",,"2169-2176;2225-2232"
"C.R.D.O.CHIRIMOYA COSTA TROPICAL","Avda. Juan Carlos I. Edificio Estación",18690,"Almuñecar","Granada","Sanchez González","Antonio","958 635 865",,"958 639 201","chirimoya@crchirimoya.org","www.crchirimoya.org",7,"Chirimoya","Según petición de cliente y/o mercado. Se suele envasar en cajas de 40x30 con peso según el número de piezas (desde 6 piezas hasta 14 piezas) en caja de cartón con alveolo. También en packs de dos piezas.","2169-2176;2225-2232"
"I.G.P. ESPARRAGO DE HUÉTOR - TÁJAR","Ctra. de la Estación, s/n",18360,"Huétor - Tajar","Granada","Espejo Calvo","Juan Antonio","958 333 443","619 024 429","958 332 522","esparragodehuetortajar@andaluciajunta.es","www.esparragodehuetortajar.com",6,"Espárragos trigueros  de Huétor Tájar en fresco y en conserva acogidos a esta I.G.P. marca inscrita en la IGP Los Monteros. Empresa inscrita Centro Sur S. Coop. And.","Espárragos en conserva al natural y en Aceite de Oliva Virgen Extra. Formatos enteros delgados, cortos medios y delgados y cortados.","2169-2176;2225-2232"
"I.G.P. ESPARRAGO DE HUÉTOR - TÁJAR","Ctra. de la Estación, s/n",18360,"Huétor - Tajar","Granada","Espejo Calvo","Juan Antonio","958 333 443","619 024 429","958 332 522","esparragodehuetortajar@andaluciajunta.es","www.esparragodehuetortajar.com",7,"Espárragos trigueros  de Huétor Tájar en fresco y en conserva acogidos a esta I.G.P. marca inscrita en la IGP Los Monteros. Empresa inscrita Centro Sur S. Coop. And.","Espárragos en conserva al natural y en Aceite de Oliva Virgen Extra. Formatos enteros delgados, cortos medios y delgados y cortados.","2169-2176;2225-2232"
"I.G.P. ESPARRAGO DE HUÉTOR - TÁJAR","Ctra. de la Estación, s/n",18360,"Huétor - Tajar","Granada","Espejo Calvo","Juan Antonio","958 333 443","619 024 429","958 332 522","esparragodehuetortajar@andaluciajunta.es","www.esparragodehuetortajar.com",9,"Espárragos trigueros  de Huétor Tájar en fresco y en conserva acogidos a esta I.G.P. marca inscrita en la IGP Los Monteros. Empresa inscrita Centro Sur S. Coop. And.","Espárragos en conserva al natural y en Aceite de Oliva Virgen Extra. Formatos enteros delgados, cortos medios y delgados y cortados.","2169-2176;2225-2232"
"DIPUTACIÓN DE ALMERÍA","Hnos. Machado,27",4071,"Almería","Almería","Álvarez Fernández","Joaquín","950 211 394",,"954 021 1324","jgomezan@dipalme.org","www.dipalme.org",9,,,"2149-2154"
"ACEITE DE OLIVA VIRGEN EXTRA CASTILLO DE TABERNAS","Paseo de Almería, 1, 1º-4",4001,"Almería","Almería",,"Comerciales","950 272 888","615 464 234","950 621 203","info@cdtabernas.com","www.castillodetabernas.com",1,"Aceite de Oliva Virgen Extra Castillo de Tabernas, Aceite de Oliva Virgen Extra Indaloliva","Castillo de Tabernas en botella de cristal de 250 ml., 500 ml., 5000 ml. y lata de 5000 ml. Indaloliva en botella de cristal de 250 ml. y garrafa de plástico de 5000 ml.","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"BODEGA VIÑALMANZORA","Polígono La Zalea, Serón",4890,"Serón","Almería","Gea","Diego","609 436 248","609 436 248","950 421 202","diegogea@hotmail.com","www.viñalmanzora.es",16,"Vino tinto ""Dídacus"". Monovarietales Syrah, Tempranillos. Vino blanco ""Saetías"". Monovarietal Airén.","Envase vidrio de 0,75 cl. y en cajas de 6 unidades.","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"BODEGAS Y VIÑEDOS LAUJAR, S.A.T.","Almírez, 24",4470,"Laujar de Andarax","Almería","Bosquet","Gabriel","950 513 565","620 598 209","950 513 565","bvlaujar@hotmail.com","www.vinosdelaujar.es",16,"Cepa Bosquet Macabeo, Cepa Bosquet Chardonnay barrica, Cepa Bosquet Syrah Barrica, Cepa Bosquet barrica 2007, Cepa Coniní Brut Nature, Cepa Bosquet 5l. Tinto-Rosado","Botellas vidrio 75 cl. y bag in box de 5 l.","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"CAMPOS DE ULEILA","Ctra. Rambla del Mar, 15 - Pol. La Juaida",4240,"Viator","Almería","Hidalgo","Mariola","950 315 509","629 531 001","950 315 508","uleila@camposdeuleila.es / mhidalgo@camposdeuleila.es","www.camposdeuleila.es",1,"Aceite de Oliva Virgen Extra (Picual, Hojiblanca, Arbequina, Coupage, Ecológico)","Aceite de Oliva Virgen Extra 250 ml. Cristal (Picual, Arbequina, Hojiblanca, Coupage), Aceite de Oliva Virgen Extra 500 ml. Cristal (Coupage, Ecológico), Aceite de Oliva Virgen Extra Pet 1 l. - 5 l. Cristal (Coupage)","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"CONSORCIO ESPAÑOL DEL JAMÓN, S.L","Barriada de Canata, s/n",4890,"Serón","Almería","Rodríguez López","Francisco José","950 426 950","662 355 855","950 951 995","consorcio@jamones.es","www.jamones.es",13,"Jamón Serrano ""El Cortijo de Canata"", Jamón Ibérico ""El Cortijo de Canata"", Lomo al Romero ""El Cortijo de Canata""","Piezas con pata o bien deshuesadas envasadas al vacío y en paquetes de lonchas de 100 y 150 gr.","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"EMBUTIDOS PEÑACRUZ, S.L.","Huerta, 9",4890,"Serón","Almería","Cruz Pérez","Enrique","950 426 409","629 666 839","950 426 776","enriquecruz@embutidospcruz.com","www.embutidospcruz.com",13,"Embutidos cocidos y curados. Curados: Salchichones, longanizas, chorizos, lomo embuchado, lomo a la tabla, sabrasadas, etc. Cocidos: Blanquillo, morcilla, butifarra, morcón, relleno, queso de cerdo, salchichón cocido, etc. Todos productos artesanos tradicionales.","Productos envasados al vacío o bien en atmósfera protegida. El formato varía en función del tipo de embutidos. Se pueden presentar a granel o en bandejas termoselladas o al vacío y de forma individual.","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"JAMONES DE SERON CHECA, S.L.","Avda. Lepanto, 2",4890,"Serón","Almería","Checa","Manuel","950 426 329",,"950 426 352","info@jamonesdeseroncheca.com","www.jamonesdeseroncheca.com",13,"Jamón serrano",,"2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"JAMONES SEGURA DE SERON","Avda. Lepanto, 61",4890,"Seron","Almería","Segura","Luis","950 426 151",,"950 426 902","seron@jamonessegura.com","www.jamonessegura.com",13,"Jamón serrano e ibérico de curación natural.","Jamón entero, Jamón deshuesado, Jamón lancheado","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"S.A.T. CÍTRICOS DEL ANDARAX","Paraje Llano el Ron, s/n",4560,"Gádor","Almería","Carmona Marquez","Javier","950 646 020",,"950 645 331","jcarmona@citricosdelandaraxsat.com","www.citricosdelandaraxsat.com",14,"Cítricos y zumos de cítricos ecológicos","Cítricos en fresco (cartón, girsack y corbata). Zumos de cítrico (1/4 l., 1/2 l. 1l. y 2 l.)","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"TETAS DE LA SACRISTANA","Barco, 52",4479,"Fuente Victoria, Fondon","Almería","López Pomedio","José","950 513 186","609 441 763","950 513 186","bodega@selecciondevinos.com","www.selecciondevinos.com",16,"Vino Tetas de la Sacristana Selección, Tetas de la Sacristana Cabernet Sauvignon Ben-Zuaique Barrica, Ben-Zuaique Tinto Selección, Ben-Zuaique Blanco Selección, Ben-Zuaique Blanco Marcelo.","Botella 75 cc.","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"TOMATE LA CAÑADA NÍJAR","Ctra. de Ronda, 11-Bajo",4004,"Almería","Almería","Muñoz Fernández","Cristóbal José","950 280 380",,"950 281 331","tomate-lcn@agrocolor.es","www.elprimertomate.com",7,"Tomate","Envases de cartón: (40x30x14) y (60x40x9). Envases de plástico.","2149-2154 (DIPUTACIÓN PROVINCIAL DE ALMERÍA)"
"DIPUTACIÓN PROVINCIAL DE JAÉN","Plaza de San Francisco, s/n",23071,"Jaén","Jaén","Vera Márquez","Manuel","953 248 000",,"953 248 030","aceitedeoliva@promojaen.es","www.dipujaen.es",9,,,"2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
