"IDExhibitor","IDSector","Name","Address","PostalCode","Location","City","Phone","Fax","Email","URL","Stand","IDSector","IDSector","IDLang","Name"
73,1,"C.R.D.O. SIERRA MÁGICA","CTRA. MANCHA REAL - JODAR, S/N",23537,"Bedmar Y Garciez","Ja",953770090,953772272,"denominacion@sierramagina.org","www.sierramagina.org","2157-2160",1,1,1,"ACEITES"
74,1,"C.R.D.O. CAMPIÑAS DE JAÉN","C/CORREDERA SAN FERNANDO, 32",23400,"ÚBEDA","Ja",953755889,953758387,"direccion@campinasdejaen.es","www.campinasdejaen.es","2157-2160",1,1,1,"ACEITES"
79,1,"CASTILLO DE CANENA","C/REMEDIOS, 4",23420,"CANENA","Jaén",953770101,953770898,"info@castillodecanena.com","www.castillodecanena.com",2139,1,1,1,"ACEITES"
82,1,"OLEOCAMPO","CTRA. DEL MEGATIN, S/N",23640,"TORRE DEL CAMPO","Jaén",953410111,953415164,"gerencia@oleocampo.com","www.oleocampo.com",2087,1,1,1,"ACEITES"
3,2,"AECOVI","URB. PIE DE REY BQ. 3 LOCAL IZQ.",11407,"JEREZ DE LA FRONTERA","Ca",956180873,956180301,"carmen@aecovi-jerez.com","www.aecovi-jerez.com",2210,2,2,1,"ADEREZOS Y ACEITUNAS"
77,2,"IA MARCIENSE.","TRAVESIA SAN IGNACIO, S/N",41620,"MARCHENA","Sevilla",955845400,955846484,"iamar@marciense.es","www.marciense.es",2192,2,2,1,"ADEREZOS Y ACEITUNAS"
39,3,"MARISCOS CASTELAR","P.I.EL CONDADO CTR. LINARES/ORCERA KM.49",23250,"SANTISTEBAN DEL PUERTO","Ja",953401593,953402779,,"www.mariscoscastellar.es",2056,3,3,1,"ALIMENTOS CONGELADOS"
24,4,"EBRO PULEVA, S.A.","PASEO CASTELLANA, 20 3",28046,"MADRID","Madrid",917245250,917245341,"comunicacion@ebropuleva.com","www.ebropuleva.com","2163-2166",4,4,1,"ALIMENTOS PREPARADOS"
32,4,"HUERTA CAMPORICO","CTRA. BURGUILLOS-VILLAVERDE P.I. CUARTO",41220,"BURGUILLOS","Sevilla",955738980,955738980,"juancarloscamporico@yahoo.es","www.camporico.es",2140,4,4,1,"ALIMENTOS PREPARADOS"
51,4,"SALAZONES HERPAC","HERMANOS ROMERO ABREU, 1",11160,"BARBATE","Ca",956430746,956433520,"herpac@herpac.com","www.herpac.com",2086,4,4,1,"ALIMENTOS PREPARADOS"
55,4,"COVAP","MAYOR, 56",14400,"POZOBLANCO","Co",957473035,957479924,"comunicaciones@covap.es","www.covap.es","2143-2144",4,4,1,"ALIMENTOS PREPARADOS"
5,5,"ALMENSUR","CAMINO DE LA ALMENDRERA, S/N",29580,"CARTAMA","M",952420020,952420825,"comercial@almensur.com","www.almensur.com",2137,5,5,1,"FRUTAS, HORTALIZAS Y FRUTOS SECOS"
66,5,"C.R.D.E. ESPARRAGOS DE HUETOR - TAJAR","CTRA. DE LA ESTACION S/N",18360,"Huétor Tíjar","GRANADA",958333443,958332522,"esparragodehuetortajar@andaluciajunta.es","www.esparragodehuetortajar.com","2169-2176",5,5,1,"FRUTAS, HORTALIZAS Y FRUTOS SECOS"
67,5,"C.R.D.O.CHIRIMOYA DE LA COSTA TROPICAL DE GRANADA -MALAGA","AVDA, JUAN CARLOS I EDIFICIO ESTACI",18690,"Almuñecar","GRANADA",958635865,959639201,"chirimoya@crchirimoya.org","www.crchirimoya.org","2169-2176",5,5,1,"FRUTAS, HORTALIZAS Y FRUTOS SECOS"
4,6,"AL-ANDALUS DELICATESSEN","CA",18420,"LANJARON","Granada",958772111,958772228,"info@alandalus.e.telefonica.net",,2053,6,6,1,"CONSERVAS, MERMELADAS, MIELES"
7,6,"ANDALUZA DE MIELES","C/APARICIO, S/N",41807,"ESPARTINAS","Sevilla",954113032,955710268,"info@andaluzademieles.com","www.andaluzademieles.com",2198,6,6,1,"CONSERVAS, MERMELADAS, MIELES"
59,6,"PRODUCTOS VEGETALES ALSUR","CTRA. Córdoba-MALAGA KM 520.8",29200,"ANTEQUERA","M",952840762,952840624,"fpareja@alsurvegetales.com","www.alsurvegetales.com",2083,6,6,1,"CONSERVAS, MERMELADAS, MIELES"
60,6,"UBAGO GROUP","CHARLES DARWIN, 3 P. TEC. ANDALUCIA",29590,"CAMPANILLAS","M",951014070,952103160,"ubago@ubagogroup.com","www.ubagogroup.com",2054,6,6,1,"CONSERVAS, MERMELADAS, MIELES"
70,6,"C.R.D.D.E. CABALLA Y MELVA DE ANDALUC","GLORIETA DEL AGUA 4, EDIFICIO AJAMAR CENTER 2",41940,"TOMARES","SEVILLA",954151823,,"consejoregulador@caballaymelva.com","www.caballaymelvadeandalucia.org","2169-2176",6,6,1,"CONSERVAS, MERMELADAS, MIELES"
6,7,"CATUNAMBÚ","FOSFORO, 1 P.I. CALONGE",41007,"SEVILLA","Sevilla",954367410,954361262,"hogar@catunambu.es","www.catunambu.com","2084-2085",7,7,1,"BEBIDAS NO ALCOHÓLICAS, BEBIDAS CALIENTES, OTRAS BEBIDAS"
78,7,"SEVILLANA DE CAFE, S.L.","POLG.IND.HACIENDA DOLORES, C-7 NAVES,16-22",41500,"ALCALA DE GUADAIRA","Sevilla",955631562,955334310,"albermudez@cafeab.com","www.cafeab.com",2216,7,7,1,"BEBIDAS NO ALCOHÓLICAS, BEBIDAS CALIENTES, OTRAS BEBIDAS"
23,8,"E. MORENO","AVDA. DE ANDALUCIA, 65",41560,"ESTEPA","Sevilla",955912696,955912908,"exportacion@emoreno.com","www.emoreno.com",2142,8,8,1,"PAN, REPOSTERÍA, BOLLERÍA, POSTRES Y DULCES"
36,8,"INES ROSALES","P.E. VEREDA DE LA HERRERIA, S/N",41830,"HUEVAR DEL ALJARAFE","Sevilla",954756427,954756335,"grupo@inesrosales.com","www.inesrosales.com","2023-2024",8,8,1,"PAN, REPOSTERÍA, BOLLERÍA, POSTRES Y DULCES"
9,9,"ASOC. ANDALUZA FAB. SALAZONES Y AHUMADOS","GLORIETA DEL AGUA, 4 2",41940,"TOMARES","Sevilla",954151823,954157592,"salazones.ahumados@telefonica.net",,2191,9,9,1,"PESCADOS Y MARISCOS"
10,9,"TUNAMAR","REC.INT.ZONA FRANCA, MUELLE RIBERA, S/N",11011,"CADIZ","Ca",956200971,956200972,"antonio@tunamar.eu","www.tunamar.eu",2079,9,9,1,"PESCADOS Y MARISCOS"
29,9,"FED. AND.COMPRADORES DE PESCADOS EN LONJA","EMILIO AGUILAR, 16",21410,"ISLA CRISTINA","Huelva",685538664,959332902,"fedacopesca@fedacopesca.es","www.fedacopesca.es",2202,9,9,1,"PESCADOS Y MARISCOS"
31,9,"HERME ORTIZ","JUAN DE LEDESMA, 35",41006,"SEVILLA","Sevilla",902223212,954934304,"enro@hermeortiz.com","www.hermeortiz.com",2201,9,9,1,"PESCADOS Y MARISCOS"
41,9,"MARISCOS FRESCOHUELVA","LONJA PESCADERIA, MOD. 83,84,91",21001,"HUELVA","Huelva",959284032,959284032,"a.jimenez@frescohuelva.com","www.frescohuelva.com",2215,9,9,1,"PESCADOS Y MARISCOS"
42,9,"MARISCOS MENDEZ","POLG. PESQUERO NORTE, S/N",21002,"HUELVA","Huelva",959281785,959541907,"info@mariscosmendez.com","www.mariscosmendez.com",2032,9,9,1,"PESCADOS Y MARISCOS"
47,9,"LA ALMADRABA","LUIS DE MORALES, 32 PLANTA 3",41018,"SEVILLA","Sevilla",954987938,954988692,"anasantos@atundealmadraba.com","www.almadrabasandaluzas.com","2088-2089",9,9,1,"PESCADOS Y MARISCOS"
49,9,"PESASUR","POLIGONO SEPES, PARCELAS, 2 Y 3",21400,"AYAMONTE","Huelva",959321075,959320876,"pesasur@pesasur.com",,2205,9,9,1,"PESCADOS Y MARISCOS"
53,9,"SALAZONES HERPAC","HERMANOS ROMERO ABREU, 3",11160,"BARBATE","Ca",956430746,956433520,"herpac@herpac.com","www.herpac.com",2086,9,9,1,"PESCADOS Y MARISCOS"
54,9,"SALPESCA","P.I.EL OLIVAR, PARCELA, 3",11160,"BARBATE","Ca",956430979,956431553,"salpesca@salpesca.com","www.salpesca.com",2211,9,9,1,"PESCADOS Y MARISCOS"
61,9,"VENSY ESPA","ERNEST HEMINGWAY, S/N",29004,"MALAGA","M",952238040,952233359,"lillan@vensy.es","www.vensy.es",2038,9,9,1,"PESCADOS Y MARISCOS"
16,10,"CONSORCIO DE JABUGO","ISAAC NEWTON, 3 MOD. 3",41092,"SEVILLA","Sevilla",955024694,955024695,"iberico@consorciodejabugo.com","www.consorciodejabugo.com",2057,10,10,1,"PRODUCTOS CÁRNICOS"
18,10,"CORSEVILLA","CTRA. DE GUADALCANAL,S/N, KM 0",41370,"CAZALLA DE LA SIERRA","Sevilla",954889400,954889805,"queseria@corsevilla.es","www.corsevilla.es",2052,10,10,1,"PRODUCTOS CÁRNICOS"
28,10,"CUYAR JABUGO","MARQUES DE ARACENA,78",21360,"EL REPILADO","Huelva",959122612,959122614,"cuyar@embutidosjabugo.com","www.embutidosjabugo.com",2090,10,10,1,"PRODUCTOS CÁRNICOS"
34,10,"IBESA","POLG.INDUSTRIAL CARNICO, S/N",14440,"VILLANUEVA DE CORDOBA","Co",957122000,957121981,"info@ibesa.es","www.ibesa.es",2214,10,10,1,"PRODUCTOS CÁRNICOS"
35,10,"INDUSTRIAS CARNICAS CAMPOREAL","ARQUITECTURA, 3 TORRE 7 PLTA. 11 MOD. 1",41015,"SEVILLA","Sevilla",954311334,954311333,"jjramblado@camporeal.eu","www.camporeal.ue",2082,10,10,1,"PRODUCTOS CÁRNICOS"
37,10,"JAMONES LAZO","AVDA. PORTUGAL, 6",21230,"CORTEGANA","Huelva",959131560,959131869,"alahore@jamoneslazo.com","www.jamoneslazo.com","2135-2138",10,10,1,"PRODUCTOS CÁRNICOS"
44,10,"MATADERO DE LA SIERRA MORENA","AVDA. GARCIA MORATO, EDF. GILARESA OF. 9",41011,"SEVILLA","Sevilla",954229256,954211176,"laureline@sierradesevilla.com","www.sierradesevilla.com","2206-2207",10,10,1,"PRODUCTOS CÁRNICOS"
45,10,"PROLONGO","PLAZA PROLONGO, 1",29580,"CARTAMA","M",952420000,952420115,"prolongo@prolongo.es","www.prolongo.es",2034,10,10,1,"PRODUCTOS CÁRNICOS"
50,10,"RAICES SERRANAS DE JABUGO","TOMAS PEREZ, 46",41006,"SEVILLA","Sevilla",959561174,959561245,"calidad@sierradejabugo.com","www.sierradejabugo.com",2081,10,10,1,"PRODUCTOS CÁRNICOS"
56,10,"COVAP","MAYOR, 56",14400,"POZOBLANCO","Co",957473035,957479924,"comunicaciones@covap.es","www.covap.es","2143-2144",10,10,1,"PRODUCTOS CÁRNICOS"
58,10,"SIERRA DE JABUGO","JUAN DE LEDESMA, 103",41006,"SEVILLA","Sevilla",959122868,959122668,"calidad@sierradejabugo.com","www.sierradejabugo.com",2080,10,10,1,"PRODUCTOS CÁRNICOS"
63,10,"C.R.D.O. JAMON DE HUELVA","PLAZA DO",21200,"ARACENA","HUELVA",959127900,959126869,"info@jamondehuelva.es","www.jamondehuelva.com","2169-2176",10,10,1,"PRODUCTOS CÁRNICOS"
68,10,"C.R.D.O. JAMON DE PEDROCHES","CALLE REAL. 6",14440,"VILLANUEVA DE CORDOBA","Co",957121084,959121084,"secretariogeneral@jamondolospedroches.es","www.jamondolospedroches.es","2169-2176",10,10,1,"PRODUCTOS CÁRNICOS"
75,10,"CODISAL - SHC","LA MUELA, S/N",11150,"VEJER DE LA FRONTERA","Ca",956448435,956448441,"ildefonso@sohiscert.com",,2028,10,10,1,"PRODUCTOS CÁRNICOS"
17,11,"CONSORCIO DE JABUGO","ISAAC NEWTON, 3 MOD. 3",41092,"SEVILLA","Sevilla",955024694,955024695,"iberico@consorciodejabugo.com","www.consorciodejabugo.com",2057,11,11,1,"PRODUCTOS LÁCTEOS"
19,11,"CORSEVILLA","CTRA. DE GUADALCANAL,S/N, KM 1",41370,"CAZALLA DE LA SIERRA","Sevilla",954889400,954889805,"queseria@corsevilla.es","www.corsevilla.es",2052,11,11,1,"PRODUCTOS LÁCTEOS"
25,11,"EBRO PULEVA, S.A.","PASEO CASTELLANA, 20 3",28046,"MADRID","Madrid",917245250,917245341,"comunicacion@ebropuleva.com","www.ebropuleva.com","2163-2166",11,11,1,"PRODUCTOS LÁCTEOS"
57,11,"COVAP","MAYOR, 56",14400,"POZOBLANCO","Co",957473035,957479924,"comunicaciones@covap.es","www.covap.es","2143-2144",11,11,1,"PRODUCTOS LÁCTEOS"
71,11,"GRUPO DESARROLLO RURAL DEL VALLE GUADALHORCE","C/ Dehesa, 80",29560,"PIZARRA","M",952483868,952483869,"info@valledelguadalhorce.com","www.quesosdeandalucia.com","2261-2263",11,11,1,"PRODUCTOS LÁCTEOS"
2,12,"AECOVI","URB. PIE DE REY BQ. 3 LOCAL IZQ.",11407,"JEREZ DE LA FRONTERA","Ca",956180873,956180301,"carmen@aecovi-jerez.com","www.aecovi-jerez.com",2210,12,12,1,"VINOS, VINAGRES Y LICORES"
11,12,"BODEGAS GONZALEZ PALACIOS","CONSOLACION , 60",41740,"LEBRIJA","Sevilla",955972785,955974084,"bodegas@gonzalezpalacios.com","www.gonzalezpalacios.com",2260,12,12,1,"VINOS, VINAGRES Y LICORES"
33,12,"HUERTA DE ALBALA","MURILLO, 11",11500,"Puerto De Santa Maria(El)","Ca",647746047,856023053,"bodega@huertadealbala.com","www.huertadealbala.com",2025,12,12,1,"VINOS, VINAGRES Y LICORES"
62,12,"BODEGAS PRIVILEGIO DEL CONDADO","C/SAN JOS",21710,"BOLLULLOS PAR DEL CONDADO","Huelva",959410261,959410171,"direccion@vinicoladelcondado.com","www.vinicoladelcondado.com",2033,12,12,1,"VINOS, VINAGRES Y LICORES"
64,12,"C.R.D.O. CONDADO DE HUELVA Y VINAGRE DEL CONDADO DE H.","PLAZA ILDEFONSO PINTO S/N",21710,"BOLLULLOS DEL CONDADO","HUELVA",959410322,959413859,"cr@condadodehuelva.es","www.condadodehuelva.es","2169-2176",12,12,1,"VINOS, VINAGRES Y LICORES"
80,12,"CRDO MÁLAGA, SIERRAS DE MÁLAGA Y PASAS DE MÁLAGA","PLAZA DE LOS VIÑEROS, 1",29008,"MALAGA","Málaga",952227990,952277990,"promycom@vinomalaga.com","www.museovinomalaga.com","2060-2061;2064",12,12,1,"VINOS, VINAGRES Y LICORES"
76,13,"CODISAL - SHC","LA MUELA, S/N",11150,"VEJER DE LA FRONTERA","Ca",956448435,956448441,"ildefonso@sohiscert.com",,2028,13,13,1,"PRODUCTOS ECOLÓGICOS"
8,14,"ARROCES DE DOÑANA","POLG.IND.EL PUNTAL NAVE, 1-B",41140,"ISLA MAYOR","Sevilla",955773046,955773964,"arrocesdedonana@gmail.com",,2136,14,14,1,"OTROS PRODUCTOS AGROALIMENTARIOS"
22,14,"DUENDESOL","CTRA. ALMEDINILLA-FUENTETOJAR,S /N",14812,"ALMEDINILLA","Co",957703461,957403445,"comercial@grupoaepsa.com","www.grupoaepsa.com",2195,14,14,1,"OTROS PRODUCTOS AGROALIMENTARIOS"
26,14,"EBRO PULEVA, S.A.","PASEO CASTELLANA, 20 3",28046,"MADRID","Madrid",917245250,917245341,"comunicacion@ebropuleva.com","www.ebropuleva.com","2163-2166",14,14,1,"OTROS PRODUCTOS AGROALIMENTARIOS"
27,14,"EL TIO DE LAS PAPAS","LA CRUZ,48",29328,"SIERRA DE YEGUAS","M",952746571,952746571,"info@eltiodelaspapas.com","www.eltiodelaspapas.com",2051,14,14,1,"OTROS PRODUCTOS AGROALIMENTARIOS"
30,15,"LOS ALCALAREÑOS","MASCARETA, 53",41940,"TOMARES","Sevilla",954150198,954150198,"yeye@losalcalarenos.e.telefonica.net",,2037,15,15,1,"INDUSTRIAS AUXILIARES, RESTAURACIÓN, CATERING Y OTROS"
43,15,"MARKA'S","PASEO DEL PRADO, 51",11600,"UBRIQUE","Ca",956460483,956461819,"comercial@marka-s.com","www.marka-s.com",2009,15,15,1,"INDUSTRIAS AUXILIARES, RESTAURACIÓN, CATERING Y OTROS"
20,16,"DIPUTACIÓN PROVINCIAL DE ALMERÍA","HNOS.MACHADO,27",4071,"ALMERIA","Almería",950211318,9540211324,"jgomezan@dipalme.org","www.dipalme.org","2149-2156",16,16,1,"INSTITUCIONALES Y OTROS ORGANISMOS"
21,16,"DIPUTACION PROVINCIAL DE JAEN","PLAZA DE SAN FRANCISCO, S/N",23071,"JAEN","Ja",953248000,953248030,"aceitedeoliva@promojaen.es","www.dipujaen.es","2043-2048",16,16,1,"INSTITUCIONALES Y OTROS ORGANISMOS"
38,16,"LANDALUZ","AVDA. DE GRECIA, 8",41012,"SEVILLA","Sevilla",954234849,954623206,"comunicacion@landaluz.es","www.landaluz.es","2107-2112",16,16,1,"INSTITUCIONALES Y OTROS ORGANISMOS"
81,16,"ASOCIACIÓN CAAE","AVDA. EMILIO LEMOS Nº 2 MOD. 603",41020,"SEVILLA","Sevilla",954689390,955003881,"jjplomares@caaes.es",,"2212-2213",16,16,1,"INSTITUCIONALES Y OTROS ORGANISMOS"
